GENESIS-Tabelle: 12411-0008
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nationalität, Geschlecht, Familienstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer
;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben
31.12.2010;51-Jährige;106422;392924;6642;98973;-;-;-;64763;404699;23833;102477;-;-;-;11045;28573;653;9410;-;-;-;5469;30202;2002;6491;-;-;-
31.12.2010;52-Jährige;94863;377958;7065;92504;-;-;-;57621;387226;25561;94586;-;-;-;9669;28591;830;9020;-;-;-;4708;29098;2010;6323;-;-;-
31.12.2010;53-Jährige;85346;376282;7879;90114;-;-;-;53223;382111;28315;91257;-;-;-;7922;28582;826;8799;-;-;-;4064;28158;2293;5737;-;-;-
31.12.2010;54-Jährige;78028;369821;8587;85183;-;-;-;48322;373943;30562;87167;-;-;-;7096;29933;869;8779;-;-;-;3976;29672;2540;5863;-;-;-
31.12.2010;55-Jährige;69993;364870;9177;80661;-;-;-;43704;364790;33408;82346;-;-;-;6289;28035;928;7725;-;-;-;3634;30454;2978;5884;-;-;-
31.12.2010;56-Jährige;64172;362413;9956;77566;-;-;-;40789;361671;36410;80279;-;-;-;5388;25790;859;6937;-;-;-;3318;30672;3125;5560;-;-;-
31.12.2010;57-Jährige;58534;355290;10533;73218;-;-;-;37173;353284;38865;75980;-;-;-;4462;23660;840;6221;-;-;-;3014;29708;3124;5182;-;-;-
31.12.2010;58-Jährige;54722;360194;11534;69614;-;-;-;34703;351737;43344;74050;-;-;-;4253;24468;872;6210;-;-;-;3079;31592;3585;5402;-;-;-
31.12.2010;59-Jährige;49795;356926;12223;66141;-;-;-;31570;346268;47040;71030;-;-;-;3613;24429;965;5570;-;-;-;2673;29128;3530;4886;-;-;-
31.12.2010;60-Jährige;47469;356812;13830;62990;-;-;-;29841;343365;52075;68659;-;-;-;3654;28480;1313;5985;-;-;-;2824;32222;4519;4968;-;-;-
31.12.2010;61-Jährige;41318;348224;14508;58462;-;-;-;26337;330510;55068;63333;-;-;-;3484;29394;1251;5656;-;-;-;2467;30214;4387;4546;-;-;-
31.12.2010;62-Jährige;35749;317995;14386;52099;-;-;-;22939;298514;55382;56721;-;-;-;3282;30178;1376;5320;-;-;-;2230;28183;4588;4295;-;-;-
31.12.2010;63-Jährige;31469;296380;14907;46603;-;-;-;20219;280309;57421;51991;-;-;-;3012;30445;1378;4969;-;-;-;2076;25888;4394;3977;-;-;-
31.12.2010;64-Jährige;26707;255754;14330;39474;-;-;-;17098;242069;54081;44885;-;-;-;2556;27966;1446;4379;-;-;-;1753;22508;4291;3300;-;-;-
31.12.2010;65-Jährige;22745;222170;13989;33747;-;-;-;15362;211560;52502;39253;-;-;-;2156;24952;1407;3469;-;-;-;1493;19859;4182;2888;-;-;-
31.12.2010;66-Jährige;29205;309047;20083;41900;-;-;-;19574;288850;74851;50462;-;-;-;2005;23023;1407;3260;-;-;-;1323;17879;4183;2614;-;-;-
31.12.2010;67-Jährige;28885;314054;22447;40449;-;-;-;20162;290440;81878;49819;-;-;-;1822;22198;1367;2997;-;-;-;1158;15795;3878;2435;-;-;-
31.12.2010;68-Jährige;27523;301230;23964;36681;-;-;-;20211;276445;87575;46126;-;-;-;1800;22824;1433;2871;-;-;-;1137;15317;4197;2296;-;-;-
31.12.2010;69-Jährige;32172;368350;31299;40478;-;-;-;23897;334539;118029;53152;-;-;-;1578;20781;1573;2736;-;-;-;1162;12976;4196;2179;-;-;-
31.12.2010;70-Jährige;32022;381324;36596;39016;-;-;-;25114;341606;139304;52740;-;-;-;1550;21666;1818;2709;-;-;-;1128;13317;4860;2128;-;-;-
31.12.2010;71-Jährige;29152;371434;37814;34794;-;-;-;24943;327136;148852;48646;-;-;-;1384;19229;1609;2391;-;-;-;964;11168;4496;1881;-;-;-
31.12.2010;72-Jährige;25645;339338;38299;29611;-;-;-;24068;291062;152351;42704;-;-;-;1293;17822;1580;2073;-;-;-;1035;10488;4440;1832;-;-;-
31.12.2010;73-Jährige;22263;309219;38495;25103;-;-;-;23194;258790;154791;37609;-;-;-;1239;15233;1478;1791;-;-;-;907;9025;4149;1632;-;-;-
31.12.2010;74-Jährige;20364;290605;39850;22259;-;-;-;22975;239152;164086;33986;-;-;-;1019;13079;1353;1573;-;-;-;783;7740;3984;1464;-;-;-
31.12.2010;75-Jährige;17839;270814;41684;19240;-;-;-;22444;214319;172077;30687;-;-;-;831;10793;1134;1293;-;-;-;692;6326;3854;1191;-;-;-
31.12.2010;76-Jährige;15143;238542;41308;16340;-;-;-;21266;183967;171652;27017;-;-;-;790;10234;1294;1245;-;-;-;636;5417;3518;1043;-;-;-
31.12.2010;77-Jährige;11556;179927;34729;11667;-;-;-;17859;134704;146551;19931;-;-;-;760;9002;1129;1062;-;-;-;571;5080;3250;988;-;-;-
31.12.2010;78-Jährige;10459;168633;36827;10420;-;-;-;18274;123529;152843;18724;-;-;-;570;7130;1055;886;-;-;-;490;4379;2993;872;-;-;-
31.12.2010;79-Jährige;9824;159999;39251;9220;-;-;-;19420;114542;162399;17925;-;-;-;522;6221;926;744;-;-;-;465;3512;2890;751;-;-;-
31.12.2010;80-Jährige;9566;153618;43499;8726;-;-;-;20778;106105;178054;18018;-;-;-;496;5432;913;654;-;-;-;512;3426;3211;761;-;-;-
31.12.2010;81-Jährige;8321;135333;43082;7411;-;-;-;20782;93225;173764;16659;-;-;-;460;4281;796;574;-;-;-;466;2964;2766;658;-;-;-
31.12.2010;82-Jährige;7410;120205;43941;6834;-;-;-;20866;80740;173075;15830;-;-;-;322;3785;707;525;-;-;-;432;2331;2691;578;-;-;-
31.12.2010;83-Jährige;6248;95693;39968;5461;-;-;-;20251;66602;163913;13886;-;-;-;409;3238;714;381;-;-;-;421;2122;2763;522;-;-;-
31.12.2010;84-Jährige;5108;78225;36700;4535;-;-;-;20658;55640;163138;13566;-;-;-;336;2664;687;375;-;-;-;362;1771;2509;518;-;-;-
31.12.2010;85 Jahre und mehr;28545;243319;207995;21484;-;-;-;136487;192238;975186;75254;-;-;-;3557;17249;6538;2540;-;-;-;4151;9948;23841;3370;-;-;-
31.12.2011;unter 1 Jahr;321764;-;-;-;-;-;-;305963;-;-;-;-;-;-;15727;-;-;-;-;-;-;14878;-;-;-;-;-;-
31.12.2011;1-Jährige;333210;-;-;-;-;-;-;317529;-;-;-;-;-;-;14599;-;-;-;-;-;-;13898;-;-;-;-;-;-
31.12.2011;2-Jährige;329412;-;-;-;-;-;-;312495;-;-;-;-;-;-;14176;-;-;-;-;-;-;13496;-;-;-;-;-;-
31.12.2011;3-Jährige;338581;-;-;-;-;-;-;322079;-;-;-;-;-;-;14906;-;-;-;-;-;-;14125;-;-;-;-;-;-
31.12.2011;4-Jährige;339181;-;-;-;-;-;-;321371;-;-;-;-;-;-;14920;-;-;-;-;-;-;14276;-;-;-;-;-;-
31.12.2011;5-Jährige;332744;-;-;-;-;-;-;315154;-;-;-;-;-;-;15302;-;-;-;-;-;-;14138;-;-;-;-;-;-
31.12.2011;6-Jährige;337518;-;-;-;-;-;-;320721;-;-;-;-;-;-;14963;-;-;-;-;-;-;14066;-;-;-;-;-;-
31.12.2011;7-Jährige;344943;-;-;-;-;-;-;327824;-;-;-;-;-;-;17106;-;-;-;-;-;-;16080;-;-;-;-;-;-
31.12.2011;8-Jährige;345227;-;-;-;-;-;-;327825;-;-;-;-;-;-;17152;-;-;-;-;-;-;16440;-;-;-;-;-;-
31.12.2011;9-Jährige;352134;-;-;-;-;-;-;334058;-;-;-;-;-;-;17506;-;-;-;-;-;-;16425;-;-;-;-;-;-
31.12.2011;10-Jährige;361067;-;-;-;-;-;-;341584;-;-;-;-;-;-;18027;-;-;-;-;-;-;17093;-;-;-;-;-;-
31.12.2011;11-Jährige;375184;-;-;-;-;-;-;356588;-;-;-;-;-;-;20189;-;-;-;-;-;-;19220;-;-;-;-;-;-
31.12.2011;12-Jährige;362838;-;-;-;-;-;-;343167;-;-;-;-;-;-;34389;-;-;-;-;-;-;33145;-;-;-;-;-;-
31.12.2011;13-Jährige;369415;-;-;-;-;-;-;351317;-;-;-;-;-;-;35872;-;-;-;-;-;-;34154;1;-;-;-;-;-
31.12.2011;14-Jährige;380804;-;-;-;-;-;-;362336;2;-;-;-;-;-;37197;-;-;-;-;-;-;35502;2;-;1;-;-;-
31.12.2011;15-Jährige;374974;-;-;-;-;-;-;355625;1;-;1;-;-;-;36514;-;-;-;-;-;-;34788;4;-;-;-;-;-
31.12.2011;16-Jährige;363607;7;-;5;-;-;-;345399;12;1;2;-;-;-;35904;5;-;1;-;-;-;33688;20;-;-;-;-;-
31.12.2011;17-Jährige;367956;7;1;2;-;-;-;349348;48;5;3;-;-;-;37194;18;-;2;-;1;-;34678;123;-;2;-;-;-
31.12.2011;18-Jährige;382018;96;1;7;3;2;-;363058;809;4;7;-;-;-;38088;85;-;-;-;-;-;34516;773;2;7;-;2;-
31.12.2011;19-Jährige;389591;423;-;9;11;2;1;370603;2806;3;21;13;5;-;38224;310;-;8;3;3;-;34310;2158;4;11;-;3;-
31.12.2011;20-Jährige;406472;1314;2;22;29;4;-;383416;6465;13;144;45;8;1;40557;805;1;12;13;5;1;36098;4148;6;44;1;2;-
31.12.2011;21-Jährige;449022;3399;5;81;52;15;3;419237;12575;17;413;78;13;1;43600;1641;-;29;29;8;1;37823;6691;8;134;1;4;-
31.12.2011;22-Jährige;438549;6691;8;218;88;19;-;405856;20895;27;834;116;21;1;45469;3216;7;88;45;5;1;37528;10078;11;244;8;3;2
31.12.2011;23-Jährige;447529;12361;2;415;140;19;2;404504;33791;37;1676;168;26;-;46715;5462;5;143;60;5;2;37218;14217;13;421;11;6;-
31.12.2011;24-Jährige;431864;19759;17;791;134;32;1;381387;47950;61;2630;237;25;1;45837;7929;4;302;77;11;-;34786;18067;30;641;13;6;1
31.12.2011;25-Jährige;413192;29694;19;1269;208;35;1;358202;65490;102;3930;266;46;1;43770;10627;8;415;106;20;1;32257;22114;43;924;14;4;-
31.12.2011;26-Jährige;384513;41120;27;1828;232;49;4;323292;82988;156;5482;314;54;1;42118;13677;15;750;145;13;3;29451;26885;59;1305;24;9;1
31.12.2011;27-Jährige;368758;55287;35;2773;260;57;1;298371;104063;205;7517;383;61;-;39858;17331;28;997;156;24;3;27612;31444;87;1857;42;4;-
31.12.2011;28-Jährige;350721;73850;37;4188;363;50;3;276460;126250;265;9923;439;74;-;37381;21327;28;1398;196;31;1;25133;36183;133;2507;38;6;-
31.12.2011;29-Jährige;337368;94517;56;5649;423;72;2;256250;152769;340;12616;520;69;1;36240;26333;28;1921;211;37;3;23582;41539;129;3207;41;12;-
31.12.2011;30-Jährige;308556;115285;73;7293;498;88;2;230078;174346;463;15439;665;73;4;32831;30633;36;2504;257;41;4;20877;46327;190;4021;48;7;1
31.12.2011;31-Jährige;284797;134832;107;9291;574;81;6;207889;193451;567;18649;762;91;2;30781;35344;50;3084;254;38;2;18890;49998;279;4753;52;13;1
31.12.2011;32-Jährige;249587;147011;139;10946;640;91;3;177413;199826;724;20734;779;95;2;26867;37748;59;3637;270;56;4;16317;51696;317;5316;59;9;-
31.12.2011;33-Jährige;227159;161660;167;13204;705;84;7;159285;210411;805;23082;842;124;4;24447;40360;71;4028;287;50;4;14184;52974;375;5772;65;7;-
31.12.2011;34-Jährige;208110;174949;163;15352;742;81;6;144197;218897;1021;25939;900;84;2;22354;42760;86;4626;288;43;3;12798;53899;455;6347;53;13;-
31.12.2011;35-Jährige;185923;185049;232;17689;792;93;12;128198;225354;1197;28487;835;90;-;20840;44489;85;5032;260;40;9;11673;54577;469;7166;63;9;-
31.12.2011;36-Jährige;166628;191190;267;19424;705;95;5;112422;226654;1404;30122;782;101;1;19597;45905;104;5452;242;47;7;10514;54907;639;7643;53;13;-
31.12.2011;37-Jährige;157205;203784;335;21870;790;82;5;105501;237939;1589;33626;776;93;1;18363;47294;114;5940;274;30;7;9852;56043;691;8133;58;12;1
31.12.2011;38-Jährige;149962;216133;419;24571;759;85;10;100128;246068;1907;37175;727;83;6;16202;47092;133;6167;214;51;8;8664;55589;752;8395;64;7;2
31.12.2011;39-Jährige;156920;245686;578;30821;841;98;14;103242;276398;2514;44517;789;73;5;14867;47712;165;6482;228;33;3;7858;54911;848;8414;53;9;-
31.12.2011;40-Jährige;168193;283599;805;37681;1083;93;11;110216;313519;3265;53722;904;87;2;13410;47237;207;6798;185;27;6;6979;53182;934;8512;62;14;-
31.12.2011;41-Jährige;166208;301632;989;43413;1197;97;13;107620;331023;4043;60995;934;106;3;13107;47574;226;7048;205;29;6;6453;52164;977;8792;49;15;-
31.12.2011;42-Jährige;172246;336240;1219;52005;1368;123;12;110745;362803;5007;71474;984;88;4;11496;47521;183;7337;182;19;4;5810;49244;1076;8542;45;4;-
31.12.2011;43-Jährige;174430;360027;1473;59705;1498;134;20;109522;386349;6013;81545;1070;108;3;10631;45998;223;7379;164;19;3;5258;46784;1192;8297;51;8;-
31.12.2011;44-Jährige;170493;380442;1827;67223;1445;113;22;106555;404775;7426;89598;1040;85;4;9629;42988;258;6787;174;14;6;4770;42595;1209;7759;48;9;-
31.12.2011;45-Jährige;165896;399004;2237;74053;1504;118;19;102860;419978;8866;96953;1045;79;8;8675;44574;298;7100;141;15;4;4245;42757;1229;7606;45;3;-
31.12.2011;46-Jährige;156525;407345;2597;80167;1532;117;22;95310;424934;10523;101376;1068;83;11;8102;44826;321;7246;142;15;1;3807;41535;1426;7540;53;8;1
31.12.2011;47-Jährige;150575;421083;3165;86863;1442;98;27;91235;438659;12525;107183;1041;73;9;7334;44182;329;6982;125;16;3;3485;39718;1506;7376;41;9;-
31.12.2011;48-Jährige;139415;426621;3670;90422;1396;96;24;84421;442528;14657;108153;974;73;12;6426;41672;341;6701;117;13;1;3165;36365;1604;6688;40;6;1
31.12.2011;49-Jährige;126156;419621;4209;90547;1265;80;22;75204;434590;16247;106520;879;72;10;5923;38092;362;6370;113;7;3;2810;34626;1819;6544;34;3;1
31.12.2011;50-Jährige;116226;422549;4756;91936;1294;70;27;69728;436691;18966;105029;847;53;13;5245;33326;353;5787;105;9;3;2440;31285;1855;5843;23;3;2
31.12.2011;51-Jährige;104625;413573;5133;88416;1164;67;33;62255;424506;21507;99720;760;51;5;5244;33647;402;5915;92;7;-;2416;32072;2115;5734;29;3;1
31.12.2011;52-Jährige;95038;410148;5845;87939;982;70;12;56765;418343;23578;96535;688;46;8;4445;30682;426;5403;82;2;2;2222;28680;2095;5307;24;1;-
31.12.2011;53-Jährige;84465;392485;6202;81746;889;44;18;50486;399113;25240;88040;621;33;5;4032;29761;441;5148;72;7;2;1981;27348;2155;4981;30;2;-
31.12.2011;54-Jährige;76961;389066;6880;79064;820;41;20;46831;392972;28108;84923;602;28;6;3604;29024;480;4916;54;4;-;1719;26123;2393;4749;19;1;1
31.12.2011;55-Jährige;69446;381536;7422;75009;738;33;24;42785;383205;30506;80845;523;29;7;3226;30081;503;4885;59;4;5;1622;27324;2748;4721;26;2;1
31.12.2011;56-Jährige;62441;374766;8261;71136;695;26;12;38735;373549;33409;76827;455;21;5;2888;27272;498;4369;46;1;4;1570;27976;3296;4565;19;3;-
31.12.2011;57-Jährige;56835;371729;8997;67953;638;35;19;36032;369120;36793;74893;455;27;8;2608;24182;556;4032;38;-;1;1503;28044;3395;4459;16;3;1
31.12.2011;58-Jährige;51492;363595;9591;64363;597;34;15;32602;359596;39561;71036;401;13;9;2278;21673;546;3666;40;2;4;1388;27127;3590;4094;13;2;-
31.12.2011;59-Jährige;47549;366907;10651;61500;581;18;14;30243;356564;44232;69525;358;5;7;2148;22856;598;3602;44;-;1;1372;28547;4119;4272;18;1;-
31.12.2011;60-Jährige;43161;364199;11300;57880;583;20;14;27572;350844;48119;66690;373;16;10;1943;22343;638;3249;43;-;1;1286;25905;4072;3847;16;3;-
31.12.2011;61-Jährige;40233;362687;12735;54902;553;23;26;25327;345992;53044;64486;384;9;13;2009;26782;821;3371;54;2;1;1324;28980;5172;4002;18;2;1
31.12.2011;62-Jährige;35539;353887;13671;50987;521;15;10;22673;333835;56646;59773;304;6;5;1907;27781;847;3232;39;2;1;1184;26828;5278;3631;16;-;-
31.12.2011;63-Jährige;30210;322105;13425;45393;448;15;18;19409;300403;56881;53158;268;13;5;1791;28870;960;3135;30;2;-;1084;24951;5352;3495;8;1;1
31.12.2011;64-Jährige;25812;300633;13817;40387;419;10;13;16925;280813;59305;48655;216;1;6;1644;29108;1064;2982;30;1;1;1057;23034;5406;3089;13;-;-
31.12.2011;65-Jährige;22089;259149;13281;33987;436;8;24;14104;242017;55965;42152;242;4;7;1411;26526;1049;2579;32;1;1;933;19814;5160;2744;7;-;1
31.12.2011;66-Jährige;18315;224170;12780;28592;411;9;24;12819;210788;53882;36848;216;3;11;1099;23349;1030;1977;22;4;1;755;17279;4878;2206;7;1;2
31.12.2011;67-Jährige;23717;309477;19257;36249;653;13;38;16436;285983;78320;47756;299;3;10;1112;22294;1045;1826;29;-;7;704;15273;4920;1989;9;-;-
31.12.2011;68-Jährige;23622;313954;21655;35124;451;17;22;17073;285935;85898;47608;230;7;9;947;21018;1094;1687;21;-;3;578;13361;4540;1838;8;-;-
31.12.2011;69-Jährige;22308;300092;23147;31754;470;7;27;16928;270844;91416;43972;206;2;10;937;21066;1171;1604;19;-;1;575;12471;4712;1681;4;-;-
31.12.2011;70-Jährige;26313;365371;30473;35645;544;14;33;20392;326922;123960;51083;216;-;7;804;19024;1314;1424;13;-;2;616;10633;4614;1508;5;-;-
31.12.2011;71-Jährige;26089;377933;35166;33867;431;8;36;21719;332850;144881;50387;173;3;9;836;19751;1452;1377;12;-;-;602;10809;5183;1499;5;1;-
31.12.2011;72-Jährige;23727;366895;36927;30805;347;8;14;21573;317856;156174;46865;146;2;8;752;17467;1377;1285;8;-;1;555;8967;4661;1418;4;-;-
31.12.2011;73-Jährige;20625;334252;37265;25920;281;3;11;20720;280682;159285;40866;116;1;9;624;15764;1424;1072;8;-;1;522;7861;4622;1343;4;-;-
31.12.2011;74-Jährige;17385;303838;37435;21653;203;5;11;20110;247665;162161;36015;105;1;4;565;13314;1298;925;12;-;-;509;6783;4255;1158;1;1;-
31.12.2011;75-Jährige;15450;283595;38711;18873;181;5;19;19821;225834;171119;32358;93;1;6;510;11228;1245;821;6;1;-;409;5509;3929;920;3;-;-
31.12.2011;76-Jährige;13292;263970;39561;16110;129;3;13;19506;202365;178250;29054;67;1;5;408;9210;1099;693;10;-;1;404;4373;3586;796;3;-;-
31.12.2011;77-Jährige;10886;231002;39560;13611;109;3;11;18278;170624;177869;25136;70;1;6;362;8584;1166;567;7;-;-;326;3564;3355;687;1;-;-
31.12.2011;78-Jährige;7929;174010;33131;9266;82;1;5;15312;123142;152104;18413;43;-;-;334;7265;1054;440;5;-;2;305;3083;3226;655;1;-;-
31.12.2011;79-Jährige;6965;161861;35054;8128;71;1;4;15854;111569;157716;17159;42;-;5;239;5440;955;377;5;-;2;243;2590;2962;580;1;-;-
31.12.2011;80-Jährige;6285;152496;37296;6894;74;-;5;16637;101107;167220;16331;32;-;2;209;4249;821;315;5;-;-;234;1953;2564;462;2;-;-
31.12.2011;81-Jährige;5709;145985;40503;6256;53;1;5;17782;94083;180286;16330;30;-;6;191;3665;763;250;7;-;1;248;1828;2666;426;-;-;1
31.12.2011;82-Jährige;4887;127846;40623;5119;46;1;4;17729;79152;177457;14917;27;-;7;144;2688;706;203;-;-;-;222;1324;2395;339;2;-;-
31.12.2011;83-Jährige;3867;111508;41516;4446;32;-;4;17415;66558;174950;14074;34;2;4;134;2130;621;161;2;-;-;197;1054;2253;310;-;-;-
31.12.2011;84-Jährige;3064;88497;36863;3357;37;-;4;16702;52845;164729;12095;22;-;3;113;1710;555;130;-;-;1;178;859;2010;279;-;-;-
31.12.2011;85 Jahre und mehr;9813;283849;191533;10494;66;-;9;110765;155963;1077186;69584;88;2;33;459;5461;2761;477;4;-;-;1059;2799;12089;1244;1;1;1
31.12.2012;unter 1 Jahr;329500;-;-;-;-;-;-;312669;-;-;-;-;-;-;16487;-;-;-;-;-;-;15755;-;-;-;-;-;-
31.12.2012;1-Jährige;323019;-;-;-;-;-;-;307197;-;-;-;-;-;-;18431;-;-;-;-;-;-;17201;-;-;-;-;-;-
31.12.2012;2-Jährige;333591;-;-;-;-;-;-;317856;-;-;-;-;-;-;16943;-;-;-;-;-;-;15920;-;-;-;-;-;-
31.12.2012;3-Jährige;329602;-;-;-;-;-;-;312723;-;-;-;-;-;-;16241;-;-;-;-;-;-;15434;-;-;-;-;-;-
31.12.2012;4-Jährige;338723;-;-;-;-;-;-;322176;-;-;-;-;-;-;16774;-;-;-;-;-;-;16000;-;-;-;-;-;-
31.12.2012;5-Jährige;339243;-;-;-;-;-;-;321461;-;-;-;-;-;-;16703;-;-;-;-;-;-;15916;-;-;-;-;-;-
31.12.2012;6-Jährige;332714;-;-;-;-;-;-;315119;-;-;-;-;-;-;16716;-;-;-;-;-;-;15375;-;-;-;-;-;-
31.12.2012;7-Jährige;337661;-;-;-;-;-;-;320848;-;-;-;-;-;-;16386;-;-;-;-;-;-;15360;-;-;-;-;-;-
31.12.2012;8-Jährige;345412;-;-;-;-;-;-;328196;-;-;-;-;-;-;18222;-;-;-;-;-;-;17111;-;-;-;-;-;-
31.12.2012;9-Jährige;345880;-;-;-;-;-;-;328379;-;-;-;-;-;-;18214;-;-;-;-;-;-;17393;-;-;-;-;-;-
31.12.2012;10-Jährige;352797;-;-;-;-;-;-;334569;-;-;-;-;-;-;18465;-;-;-;-;-;-;17331;-;-;-;-;-;-
31.12.2012;11-Jährige;361664;-;-;-;-;-;-;342118;-;-;-;-;-;-;18961;-;-;-;-;-;-;17966;-;-;-;-;-;-
31.12.2012;12-Jährige;375839;-;-;-;-;-;-;357215;-;-;-;-;-;-;21247;-;-;-;-;-;-;20115;2;-;1;-;-;-
31.12.2012;13-Jährige;363973;-;-;-;-;-;-;344276;-;-;-;-;-;-;34770;-;-;-;-;-;-;33483;2;-;1;-;-;-
31.12.2012;14-Jährige;370696;-;-;-;-;-;-;352375;2;-;-;-;-;-;36067;-;-;-;-;-;-;34415;2;-;-;-;-;-
31.12.2012;15-Jährige;382240;-;-;-;-;-;-;363558;3;-;-;-;-;-;37610;-;-;-;-;-;-;35661;8;-;1;-;-;-
31.12.2012;16-Jährige;376622;-;-;-;-;-;-;357093;15;1;2;-;-;-;37353;5;-;1;-;-;-;35064;22;-;2;-;-;-
31.12.2012;17-Jährige;365068;9;-;5;-;-;-;346738;46;2;4;-;-;-;36779;19;-;1;-;-;-;33935;112;3;2;-;-;-
31.12.2012;18-Jährige;369737;73;1;5;2;-;1;350534;677;7;5;3;1;1;39405;94;1;4;-;2;-;35804;689;3;2;-;-;-
31.12.2012;19-Jährige;384669;347;1;8;15;4;-;364023;2332;6;22;13;1;-;41841;283;-;4;1;-;-;37678;1802;4;13;-;2;1
31.12.2012;20-Jährige;390774;1152;3;26;21;4;2;369845;5499;6;110;31;5;-;43929;724;-;14;7;3;-;39002;3620;6;39;3;4;-
31.12.2012;21-Jährige;406269;2837;4;68;45;10;-;380526;10647;22;364;73;13;1;46804;1540;1;30;21;7;1;40677;5976;6;99;2;4;-
31.12.2012;22-Jährige;447232;6125;7;205;87;19;3;413445;19112;28;848;130;18;1;50325;2838;1;62;40;13;2;42337;9078;11;223;6;6;-
31.12.2012;23-Jährige;435118;10893;9;436;126;25;1;396953;29985;41;1520;183;34;2;52723;4911;9;158;61;9;1;42582;12653;23;377;11;3;3
31.12.2012;24-Jährige;441538;18828;5;763;180;30;2;391868;46048;57;2596;268;41;-;53483;7641;9;261;73;11;2;41170;17205;21;627;16;10;-
31.12.2012;25-Jährige;422983;28670;19;1311;192;45;1;364884;63468;96;3821;330;44;1;51920;10462;7;470;87;19;-;38200;21149;40;880;19;10;1
31.12.2012;26-Jährige;401544;40920;24;1976;274;51;1;339490;82617;153;5491;385;71;1;49252;13430;14;611;119;23;1;34791;25469;52;1196;23;5;-
31.12.2012;27-Jährige;370518;54413;35;2750;303;63;6;303794;100791;199;7299;450;80;1;46730;16650;20;982;160;17;3;31500;29939;74;1647;30;10;1
31.12.2012;28-Jährige;352557;70542;53;3994;365;67;2;278374;122294;270;9466;520;85;-;43751;20331;35;1314;174;27;3;29077;34235;109;2265;46;6;-
31.12.2012;29-Jährige;332503;91016;59;5656;449;76;4;256302;144497;354;12129;580;101;1;40258;24290;31;1745;208;43;2;26239;38627;161;2952;47;9;-
31.12.2012;30-Jährige;317364;113255;71;7374;513;96;5;235749;171224;419;15086;676;94;1;38678;29090;33;2333;201;53;3;24287;43952;148;3563;54;15;-
31.12.2012;31-Jährige;289819;132611;99;9317;595;104;2;212341;190067;547;18033;842;87;3;34717;33348;39;3002;273;46;4;21510;48288;208;4488;54;10;1
31.12.2012;32-Jährige;267145;151019;138;11499;682;108;9;192766;206763;684;21308;926;127;4;32215;37624;56;3578;266;43;2;19491;51541;292;5276;59;17;1
31.12.2012;33-Jährige;234252;160781;167;13268;743;107;5;165215;210334;839;23330;935;127;3;28509;39822;71;4163;279;64;5;16797;52846;353;5789;66;14;-
31.12.2012;34-Jährige;213448;174019;219;15450;823;106;9;149073;218906;945;25718;994;154;4;25740;42077;80;4524;287;60;4;14666;53800;399;6226;72;8;-
31.12.2012;35-Jährige;195883;185724;213;17652;866;110;6;135976;225405;1187;28435;1012;106;3;23576;44305;94;5157;283;52;3;13259;54651;492;6892;62;14;-
31.12.2012;36-Jährige;175551;193950;277;20088;877;120;15;121356;230244;1386;31122;957;111;2;21988;45968;100;5577;259;50;10;12106;55167;509;7700;67;10;-
31.12.2012;37-Jährige;158129;198330;325;21722;811;111;6;107003;230188;1661;32582;912;117;2;20732;47175;125;6110;240;50;7;11077;55437;655;8187;56;14;-
31.12.2012;38-Jährige;149838;209732;407;24333;868;114;7;100977;240177;1862;36412;902;113;1;19215;48178;130;6497;265;37;6;10323;56376;728;8719;60;13;1
31.12.2012;39-Jährige;143411;220632;492;26922;846;104;11;96156;247892;2142;39879;812;97;7;17018;48358;156;6864;220;52;9;9108;55912;825;8969;69;11;2
31.12.2012;40-Jährige;150467;249763;669;33381;947;116;16;99437;277861;2804;47227;874;96;4;15702;49002;176;6992;240;34;4;8269;55212;935;8993;57;13;-
